Match_Id,Team_1,Team_2,Match_Date,Season_Id,Venue_Id,Toss_Winner,Toss_Decide,Win_Type,Win_Margin,Outcome_type,Match_Winner,Man_of_the_Match
335987,2,1,2008-04-18,1,1,2,1,1,140,1,1,2
335988,4,3,2008-04-19,1,2,3,2,1,33,1,3,19
335989,6,5,2008-04-19,1,3,5,2,2,9,1,6,90
335990,7,2,2008-04-20,1,4,7,2,2,5,1,2,11
335991,1,8,2008-04-20,1,5,8,2,2,5,1,1,4
335992,5,4,2008-04-21,1,6,4,2,2,6,1,5,32
335993,8,6,2008-04-22,1,7,8,2,2,9,1,6,41
335994,3,7,2008-04-23,1,8,7,1,1,6,1,3,18
335995,8,5,2008-04-24,1,7,5,1,2,3,1,5,31
335996,4,7,2008-04-25,1,2,7,1,1,66,1,4,26
335997,2,5,2008-04-26,1,1,5,1,2,7,1,5,32
335998,3,1,2008-04-26,1,8,1,2,2,9,1,3,22
335999,7,8,2008-04-27,1,9,8,1,2,10,1,8,53
336000,4,6,2008-04-27,1,2,6,2,2,4,1,4,28
336001,2,3,2008-04-28,1,1,3,2,1,13,1,3,20
336002,1,7,2008-04-29,1,5,1,2,2,7,1,7,44
336003,6,2,2008-04-30,1,3,2,1,1,10,1,6,118
336004,8,4,2008-05-01,1,7,4,1,2,7,1,4,100
336005,5,1,2008-05-01,1,6,5,2,1,45,1,5,101
336006,3,6,2008-05-02,1,8,3,2,2,8,1,6,41
336007,8,2,2008-05-25,1,7,8,2,2,5,1,2,81
336008,4,1,2008-05-03,1,2,4,2,1,9,1,4,29
336009,7,6,2008-05-04,1,9,6,1,1,29,1,7,49
336010,5,3,2008-05-04,1,6,3,2,2,8,1,5,102
336011,2,4,2008-05-05,1,1,4,1,2,6,1,4,77
336012,3,8,2008-05-06,1,8,8,1,2,7,1,8,53
336013,7,5,2008-05-07,1,9,7,1,2,7,1,7,73
336014,6,3,2008-05-08,1,3,3,1,2,4,1,3,20
336015,1,2,2008-05-08,1,5,1,2,1,5,1,1,1
336016,5,8,2008-05-09,1,6,5,1,2,8,1,5,31
336017,2,7,2008-05-28,1,1,7,1,2,9,1,7,149
336018,3,4,2008-05-10,1,8,4,1,1,18,1,3,151
336019,8,1,2008-05-11,1,7,1,2,1,23,1,1,1
336020,5,6,2008-05-11,1,6,5,1,2,3,1,5,32
336021,4,2,2008-05-12,1,2,2,2,2,9,1,4,100
336022,1,6,2008-05-13,1,5,1,2,1,23,1,1,144
336023,7,3,2008-05-14,1,4,7,1,2,9,1,7,44
336024,4,5,2008-05-28,1,2,5,1,1,41,1,4,100
336025,6,8,2008-05-15,1,3,8,1,1,12,1,6,136
336026,7,1,2008-05-16,1,4,7,1,2,8,1,7,49
336027,6,4,2008-05-17,1,3,6,2,1,6,1,4,64
336028,5,2,2008-05-17,1,6,2,1,1,65,1,5,74
336029,8,7,2008-05-18,1,7,8,1,1,25,1,7,71
