Umpire_Id,Umpire_Name,Umpire_Country
1,Asad Rauf,6
2,MR Benson,10
3,Aleem Dar,6
4,SJ Davis,10
5,BF Bowden,4
6,IL Howell,2
7,DJ Harper,5
8,RE Koertzen,2
9,BR Doctrove,8
10,AV Jayaprakash,1
11,BG Jerling,2
12,M Erasmus,2
13,HDPK Dharmasena,7
14,S Asnani,1
15,GAV Baxter,4
16,SS Hazare,1
17,K Hariharan,1
18,SL Shastri,1
19,SK Tarapore,1
20,S Ravi,1
21,SJA Taufel,5
22,S Das,1
23,AM Saheba,1
24,PR Reiffel,5
25,JD Cloete,2
26,AK Chaudhary,1
27,VA Kulkarni,1
28,BNJ Oxenford,5
29,CK Nandan,1
30,C Shamshuddin,1
31,NJ Llong,10
32,RK Illingworth,10
33,RM Deshpande,1
34,K Srinath,1
35,SD Fry,5
36,CB Gaffaney,4
37,PG Pathak,1
38,Nitin Menon,1
39,K Bharatan,1
40,AY Dandekar,1
41,KN Ananthapadmanabhan,1
42,A Nand Kishore,1
43,GA Pratapkumar,1
44,RB Tiffin,9
45,I Shivram,1
46,SD Ranade,1
47,TH Wijewardene,7
48,AL Hill,4
49,RJ Tucker,5
50,Subroto Das,1
51,K Srinivasan,1
52,VK Sharma,1
