match_id,partner1,partner2,partner1_runs,partner2_runs,partner1_strikerate,partner2_strikerate,total_runs,balls_faced,strikerate
1,SC Ganguly,BB McCullum,10,41,83.33,205,61,32,190.62
1,BB McCullum,RT Ponting,27,20,128.57,100,51,41,124.39
1,DJ Hussey,BB McCullum,12,45,100,250,60,30,200
1,Mohammad Hafeez,BB McCullum,5,45,166.67,321.43,50,17,294.12
1,W Jaffer,R Dravid,1,2,25,66.67,4,7,57.14
1,W Jaffer,V Kohli,0,1,0,20,5,7,71.43
1,W Jaffer,JH Kallis,5,8,62.5,114.29,15,15,100
1,W Jaffer,CL White,0,0,0,0,0,3,0
1,MV Boucher,CL White,7,4,77.78,66.67,14,15,93.33
1,B Akhil,CL White,0,0,0,0,0,3,0
1,AA Noffke,CL White,1,2,50,100,5,4,125
1,AA Noffke,P Kumar,8,4,100,80,14,13,107.69
1,P Kumar,Z Khan,8,3,200,37.5,13,12,108.33
1,SB Joshi,P Kumar,3,6,50,100,12,12,100
2,ML Hayden,PA Patel,9,15,128.57,150,26,17,152.94
2,MEK Hussey,ML Hayden,14,16,116.67,160,31,22,140.91
2,MS Dhoni,MEK Hussey,2,3,66.67,150,5,5,100
2,MEK Hussey,SK Raina,33,32,194.12,246.15,66,30,220
2,JDP Oram,MEK Hussey,13,24,130,240,39,20,195
2,S Badrinath,MEK Hussey,31,42,221.43,323.08,73,27,270.37
2,K Goel,JR Hopes,24,31,126.32,193.75,56,35,160
2,KC Sangakkara,JR Hopes,12,40,120,235.29,55,27,203.7
2,Yuvraj Singh,KC Sangakkara,23,15,176.92,136.36,42,24,175
2,SM Katich,KC Sangakkara,8,27,100,225,37,20,185
2,SM Katich,IK Pathan,13,3,144.44,60,17,14,121.43
3,YK Pathan,T Kohli,9,7,300,58.33,17,15,113.33
3,YK Pathan,SR Watson,1,9,50,150,10,8,125
3,M Kaif,SR Watson,1,12,16.67,133.33,14,15,93.33
3,M Kaif,DS Lehmann,4,1,66.67,50,6,8,75
3,M Kaif,RA Jadeja,4,4,57.14,40,10,17,58.82
3,RA Jadeja,M Rawat,12,2,200,50,14,10,140
3,RA Jadeja,D Salunkhe,13,7,185.71,116.67,22,13,169.23
3,SK Warne,D Salunkhe,14,3,107.69,75,17,17,100
3,SK Trivedi,D Salunkhe,3,16,42.86,160,19,17,111.76
3,V Sehwag,G Gambhir,12,8,300,133.33,20,10,200
3,G Gambhir,S Dhawan,50,52,125,126.83,112,81,138.27
4,ST Jayasuriya,L Ronchi,1,8,100,80,9,11,81.82
4,DJ Thornely,ST Jayasuriya,0,6,0,100,11,11,100
4,ST Jayasuriya,RV Uthappa,22,3,244.44,100,26,12,216.67
4,PR Shah,RV Uthappa,19,30,82.61,125,51,47,108.51
4,AM Nayar,RV Uthappa,10,15,111.11,136.36,28,20,140
4,AM Nayar,SM Pollock,10,17,200,242.86,27,12,225
4,Harbhajan Singh,SM Pollock,2,11,100,220,13,7,185.71
4,R Dravid,S Chanderpaul,20,16,105.26,145.45,37,30,123.33
4,R Dravid,LRPL Taylor,12,18,85.71,200,31,23,134.78
4,JH Kallis,LRPL Taylor,3,5,75,166.67,8,7,114.29
4,JH Kallis,V Kohli,6,23,85.71,164.29,30,21,142.86
4,MV Boucher,JH Kallis,38,16,211.11,123.08,55,31,177.42
4,MV Boucher,B Akhil,1,3,100,60,5,6,83.33
5,Y Venugopal Rao,AC Gilchrist,14,3,100,42.86,21,21,100
5,VVS Laxman,AC Gilchrist,0,1,0,100,1,7,14.29
5,A Symonds,AC Gilchrist,5,19,55.56,135.71,25,23,108.7
5,RG Sharma,A Symonds,0,0,0,0,0,3,0
5,A Symonds,SB Styris,3,6,27.27,85.71,11,18,61.11
5,AS Yadav,A Symonds,10,2,100,28.57,13,17,76.47
5,A Symonds,SB Bangar,22,9,183.33,128.57,33,19,173.68
5,WPUJC Vaas,SB Bangar,0,1,0,100,1,2,50
5,RP Singh,SB Bangar,1,4,100,200,5,3,166.67
5,PP Ojha,RP Singh,0,0,0,0,0,1,0
5,WP Saha,BB McCullum,1,5,33.33,100,6,8,75
5,WP Saha,RT Ponting,6,0,150,0,10,5,200
5,WP Saha,SC Ganguly,3,1,30,33.33,5,13,38.46
5,SC Ganguly,DJ Hussey,13,14,48.15,53.85,47,53,88.68
5,Mohammad Hafeez,DJ Hussey,13,6,100,75,20,21,95.24
5,LR Shukla,DJ Hussey,4,18,66.67,200,24,15,160
6,K Goel,JR Hopes,26,8,123.81,100,34,29,117.24
6,KC Sangakkara,JR Hopes,20,2,250,100,22,10,220
6,DPMD Jayawardene,JR Hopes,2,5,50,250,8,6,133.33
6,Yuvraj Singh,JR Hopes,6,1,150,25,9,8,112.5
6,Yuvraj Singh,IK Pathan,51,12,170,70.59,63,47,134.04
6,S Sohal,IK Pathan,0,0,0,0,0,3,0
6,S Sohal,B Lee,0,0,0,0,0,2,0
6,PP Chawla,S Sohal,9,4,180,133.33,13,8,162.5
6,WA Mota,PP Chawla,1,15,100,250,17,7,242.86
6,M Kaif,Kamran Akmal,5,0,62.5,0,6,8,75
6,YK Pathan,Kamran Akmal,7,4,140,100,13,9,144.44
6,SR Watson,Kamran Akmal,14,11,155.56,183.33,29,15,193.33
6,SR Watson,DS Lehmann,32,17,139.13,106.25,51,39,130.77
6,RA Jadeja,SR Watson,36,30,144,176.47,69,42,164.29
7,Y Venugopal Rao,AC Gilchrist,0,8,0,88.89,9,12,75
7,VVS Laxman,Y Venugopal Rao,2,12,33.33,92.31,14,19,73.68
7,A Symonds,Y Venugopal Rao,11,2,100,33.33,13,17,76.47
7,RG Sharma,A Symonds,7,1,116.67,50,9,8,112.5
7,RG Sharma,Shahid Afridi,13,2,130,28.57,15,17,88.24
7,RG Sharma,SB Bangar,13,8,130,57.14,22,24,91.67
7,AS Yadav,RG Sharma,8,33,160,330,41,15,273.33
7,AS Yadav,WPUJC Vaas,4,1,200,50,6,4,150
7,RP Singh,WPUJC Vaas,1,11,100,275,13,5,260
7,V Sehwag,G Gambhir,19,12,158.33,133.33,31,21,147.62
7,V Sehwag,S Dhawan,75,25,258.62,89.29,112,57,196.49
8,ML Hayden,PA Patel,15,14,187.5,127.27,34,19,178.95
8,MEK Hussey,ML Hayden,5,0,55.56,0,5,9,55.56
8,ML Hayden,SK Raina,41,53,157.69,143.24,104,63,165.08
8,MS Dhoni,ML Hayden,24,25,184.62,208.33,51,25,204
8,MS Dhoni,JDP Oram,6,5,200,250,12,5,240
8,S Badrinath,JDP Oram,2,0,200,0,2,1,200
8,ST Jayasuriya,L Ronchi,5,2,166.67,66.67,9,6,150
8,ST Jayasuriya,RV Uthappa,15,2,187.5,25,21,16,131.25
8,RV Uthappa,SM Pollock,41,8,146.43,88.89,51,37,137.84
8,DJ Bravo,SM Pollock,4,9,66.67,150,16,12,133.33
8,DJ Bravo,AM Nayar,20,12,200,200,33,16,206.25
8,AM Nayar,MA Khote,2,9,100,180,11,7,157.14
8,AM Nayar,Harbhajan Singh,20,28,333.33,200,48,20,240
8,A Nehra,AM Nayar,1,11,50,183.33,13,8,162.5
9,VVS Laxman,AC Gilchrist,9,13,180,144.44,22,14,157.14
9,VVS Laxman,Shahid Afridi,0,10,0,250,10,4,250
9,VVS Laxman,A Symonds,7,35,63.64,159.09,43,33,130.3
9,RG Sharma,A Symonds,36,73,120,260.71,111,58,191.38
9,AS Yadav,A Symonds,16,9,177.78,300,28,12,233.33
9,GC Smith,Kamran Akmal,0,12,0,133.33,14,13,107.69
9,YK Pathan,GC Smith,61,36,217.86,225,98,44,222.73
9,SR Watson,GC Smith,4,10,66.67,111.11,14,15,93.33
9,M Kaif,GC Smith,34,25,212.5,166.67,60,31,193.55
