_id,name,age,batting_hand,bowling_skill,balls_faced,runs_scored
1,SC Ganguly,47,Left-hand bat,Right-arm medium,1233,1303
2,BB McCullum,38,Right-hand bat,Right-arm medium,2177,2873
3,RT Ponting,45,Right-hand bat,Right-arm medium,128,91
4,DJ Hussey,42,Right-hand bat,Right-arm offbreak,1075,1322
5,Mohammad Hafeez,39,Right-hand bat,Right-arm offbreak,83,64
6,R Dravid,47,Right-hand bat,Right-arm offbreak,1882,2174
7,W Jaffer,42,Right-hand bat,Right-arm offbreak,121,130
8,V Kohli,31,Right-hand bat,Right-arm medium,4020,5306
9,JH Kallis,44,Right-hand bat,Right-arm fast-medium,2205,2414
10,CL White,36,Right-hand bat,Legbreak googly,751,966
11,MV Boucher,43,Right-hand bat,Right-arm medium,309,394
12,B Akhil,42,Right-hand bat,Right-arm medium-fast,55,76
13,AA Noffke,43,Right-hand bat,Right-arm fast-medium,10,9
14,P Kumar,33,Right-hand bat,Right-arm medium,314,340
15,Z Khan,41,Right-hand bat,Left-arm fast-medium,141,117
16,SB Joshi,50,Left-hand bat,Slow left-arm orthodox,14,6
17,PA Patel,35,Left-hand bat,,2252,2719
18,ML Hayden,48,Left-hand bat,Right-arm medium,782,1074
19,MEK Hussey,45,Left-hand bat,Right-arm medium,1612,1977
20,MS Dhoni,38,Right-hand bat,Right-arm medium,3215,4432
21,SK Raina,33,Left-hand bat,Right-arm offbreak,3903,5360
22,JDP Oram,41,Left-hand bat,Right-arm fast-medium,108,106
23,S Badrinath,39,Right-hand bat,Right-arm offbreak,1210,1439
24,K Goel,33,Left-hand bat,Right-arm offbreak,231,218
25,JR Hopes,41,Right-hand bat,Right-arm medium,306,417
26,KC Sangakkara,42,Left-hand bat,Right-arm offbreak,1359,1656
27,Yuvraj Singh,38,Left-hand bat,Slow left-arm orthodox,2094,2711
28,SM Katich,44,Left-hand bat,Slow left-arm chinaman,186,241
29,IK Pathan,35,Left-hand bat,Left-arm medium-fast,907,1090
30,T Kohli,31,Right-hand bat,Right-arm medium,19,11
31,YK Pathan,37,Right-hand bat,Right-arm offbreak,2224,3180
32,SR Watson,39,Right-hand bat,Right-arm fast-medium,2507,3503
33,M Kaif,39,Right-hand bat,Right-arm offbreak,234,245
34,DS Lehmann,50,Left-hand bat,Slow left-arm orthodox,18,18
35,RA Jadeja,31,Left-hand bat,Slow left-arm orthodox,1523,1877
36,M Rawat,34,Right-hand bat,,69,55
37,D Salunkhe,37,Right-hand bat,Legbreak,24,33
38,SK Warne,50,Right-hand bat,Legbreak googly,212,196
39,SK Trivedi,37,Right-hand bat,Right-arm medium,59,42
40,G Gambhir,38,Left-hand bat,Legbreak,3360,4172
41,V Sehwag,41,Right-hand bat,Right-arm offbreak,1728,2702
