Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name
1,SC Ganguly,1972-07-08,1,1,1
2,BB McCullum,1981-09-27,2,1,4
3,RT Ponting,1974-12-19,2,1,5
4,DJ Hussey,1977-07-15,2,2,5
5,Mohammad Hafeez,1980-10-17,2,2,6
6,R Dravid,1973-01-11,2,2,1
7,W Jaffer,1978-02-16,2,2,1
8,V Kohli,1988-11-05,2,1,1
9,JH Kallis,1975-10-16,2,3,2
10,CL White,1983-08-18,2,4,5
11,MV Boucher,1976-12-03,2,1,2
12,B Akhil,1977-10-07,2,5,1
13,AA Noffke,1977-04-30,2,3,5
14,P Kumar,1986-10-02,2,1,1
15,Z Khan,1978-10-07,2,6,1
16,SB Joshi,1970-06-06,1,7,1
17,PA Patel,1985-03-09,1,,1
18,ML Hayden,1971-10-29,1,1,5
19,MEK Hussey,1975-05-27,1,1,5
20,MS Dhoni,1981-07-07,2,1,1
21,SK Raina,1986-11-27,1,2,1
22,JDP Oram,1978-07-28,1,3,4
23,S Badrinath,1980-08-30,2,2,1
24,K Goel,1986-12-24,1,2,1
25,JR Hopes,1978-10-24,2,1,5
26,KC Sangakkara,1977-10-27,1,2,7
27,Yuvraj Singh,1981-12-12,1,7,1
28,SM Katich,1975-08-21,1,8,5
29,IK Pathan,1984-10-27,1,9,1
30,T Kohli,1988-12-17,2,1,1
31,YK Pathan,1982-11-17,2,2,1
32,SR Watson,1981-06-17,2,3,5
33,M Kaif,1980-12-01,2,2,1
34,DS Lehmann,1970-02-05,1,7,5
35,RA Jadeja,1988-12-06,1,7,1
36,M Rawat,1985-10-25,2,,1
37,D Salunkhe,1982-11-12,2,10,1
38,SK Warne,1969-09-13,2,4,5
39,SK Trivedi,1982-09-04,2,1,1
40,G Gambhir,1981-10-14,1,10,1
41,V Sehwag,1978-10-20,2,2,1
42,S Dhawan,1985-12-05,1,2,1
43,L Ronchi,1981-04-23,2,,5
44,ST Jayasuriya,1969-06-30,1,7,7
45,DJ Thornely,1978-10-01,2,1,5
46,RV Uthappa,1985-11-11,2,1,1
47,PR Shah,1987-11-03,2,,1
48,AM Nayar,1983-10-08,1,1,1
49,SM Pollock,1973-07-16,2,3,2
50,Harbhajan Singh,1980-07-03,2,2,1
51,S Chanderpaul,1974-08-16,1,10,8
52,LRPL Taylor,1984-03-08,2,2,4
53,AC Gilchrist,1971-11-14,1,2,5
54,Y Venugopal Rao,1982-02-26,2,2,1
55,VVS Laxman,1974-11-01,2,2,1
56,A Symonds,1975-06-09,2,2,5
57,RG Sharma,1987-04-30,2,2,1
58,SB Styris,1975-07-10,2,1,4
59,SB Bangar,1972-10-11,2,5,1
60,WPUJC Vaas,1974-01-27,1,6,7
61,RP Singh,1985-12-06,2,6,1
62,WP Saha,1984-10-24,2,,1
63,LR Shukla,1981-05-06,2,1,1
64,DPMD Jayawardene,1977-05-27,2,1,7
65,S Sohal,1987-11-10,2,10,1
66,B Lee,1976-11-08,2,11,5
67,PP Chawla,1988-12-24,1,10,1
68,WA Mota,1981-09-20,2,1,1
69,Kamran Akmal,1982-01-13,2,,6
70,Shahid Afridi,1980-03-01,2,4,6
71,DJ Bravo,1983-10-07,2,5,8
72,MA Khote,1980-04-22,2,1,1
73,A Nehra,1979-04-29,2,9,1
74,GC Smith,1981-02-01,1,2,2
75,Pankaj Singh,1985-05-06,2,5,1
76,RR Sarwan,1980-06-23,2,10,8
